No.,Treatment,Plot,StandCount1,StandCount2,PH (cm),PH (cm),PH (cm),PH (cm),AvgPH,RFW (g),Avg_RFW,SFW (g),Avg_SFW,Biomass,Nemeggs,Square box,,Eggsgmroot
1,Untreated: water,101,103,98,21.3,18.7,27,20.5,21.875,1.63,0.4075,20.06,5.015,5.4225,180,6,13905,34122.69939
1,Untreated: water,209,80,104,32,27.5,29,29,29.375,3.61,0.9025,42.32,10.58,11.4825,85,6,6566.25,7275.623269
1,Untreated: water,304,93,92,33,27,29,30.5,29.875,3.77,0.9425,46.8,11.7,12.6425,98,6,7570.5,8032.360743
1,Untreated: water,408,90,101,22.5,26.5,32,30.5,27.875,3.31,0.8275,36.32,9.08,9.9075,102,6,7879.5,9522.054381
1,Untreated: water,503,96,94,26.5,23.5,23.5,28,25.375,2.92,0.73,36.26,9.065,9.795,120,6,9270,12698.63014
1,Untreated: water,101,100,107,22,22,23,25,23,2.37,0.5925,20.98,5.245,5.8375,95,6,7338.75,12386.07595
1,Untreated: water,209,56,81,25,20,24,21.5,22.625,2.69,0.6725,20.13,5.0325,5.705,98,6,7570.5,11257.24907
1,Untreated: water,304,82,84,27,27.5,26,23,25.875,3.19,0.7975,33.65,8.4125,9.21,150,6,11587.5,14529.78056
1,Untreated: water,408,83,90,24.5,32.5,24,30,27.75,3.71,0.9275,35.86,8.965,9.8925,189,6,14600.25,15741.50943
1,Untreated: water,503,84,79,24,21.5,27.5,22.5,23.875,3.34,0.835,30.67,7.6675,8.5025,174,6,13441.5,16097.60479
2,Treated: Fluopyram,102,97,101,26.5,30,24.1,21.2,25.45,2.79,0.6975,29.88,7.47,8.1675,36,6,2781,3987.096774
2,Treated: Fluopyram,201,97,85,27.5,29,24.5,19,25,3.81,0.9525,29.13,7.2825,8.235,55,6,4248.75,4460.629921
2,Treated: Fluopyram,307,101,89,29,33.5,29.5,30.9,30.725,2.41,0.6025,32.1,8.025,8.6275,45,36,576,956.0165975
2,Treated: Fluopyram,404,98,104,26,28,22.5,24,25.125,2.86,0.715,28.82,7.205,7.92,36,36,460.8,644.4755245
2,Treated: Fluopyram,509,79,83,18.1,29.5,27,24.5,24.775,2.72,0.68,22.38,5.595,6.275,28,36,358.4,527.0588235
2,Treated: Fluopyram,102,67,90,26,22,21.5,19,22.125,2.43,0.6075,22.25,5.5625,6.17,35,36,448,737.4485597
2,Treated: Fluopyram,201,94,80,23,20,26.5,30,24.875,4.09,1.0225,31.71,7.9275,8.95,48,6,3708,3626.405868
2,Treated: Fluopyram,307,73,95,23.5,26.5,24,27,25.25,2.91,0.7275,29.75,7.4375,8.165,32,36,409.6,563.024055
2,Treated: Fluopyram,404,63,95,23,23.5,27,27,25.125,3.52,0.88,33.09,8.2725,9.1525,55,36,704,800
2,Treated: Fluopyram,509,87,86,24,21,18,23.5,21.625,3.77,0.9425,24.1,6.025,6.9675,26,36,332.8,353.1034483
3,Treated: Majestene,103,100,99,20.9,28.9,25.5,22.5,24.45,1.63,0.4075,24.19,6.0475,6.455,168,6,12978,31847.85276
3,Treated: Majestene,207,117,105,30.5,34,29,27,30.125,3.18,0.795,38.47,9.6175,10.4125,63,6,4866.75,6121.698113
3,Treated: Majestene,301,99,98,25.5,24.5,26.5,31.5,27,4.12,1.03,33.96,8.49,9.52,50,6,3862.5,3750
3,Treated: Majestene,409,67,109,26,22.5,28,22,24.625,3.11,0.7775,24.52,6.13,6.9075,54,36,691.2,889.0032154
3,Treated: Majestene,505,98,100,27,29,26,26,27,2.92,0.73,32.33,8.0825,8.8125,45,36,576,789.0410959
3,Treated: Majestene,103,94,89,23.5,23.5,23,23,23.25,3.41,0.8525,26.32,6.58,7.4325,25,36,320,375.3665689
3,Treated: Majestene,207,87,95,22,19,27,24,23,3.19,0.7975,30.51,7.6275,8.425,30,36,384,481.5047022
3,Treated: Majestene,301,91,91,19,26,28,22.5,23.875,3,0.75,30.09,7.5225,8.2725,56,36,716.8,955.7333333
3,Treated: Majestene,409,75,97,25.5,18,25.5,21,22.5,2.51,0.6275,24.86,6.215,6.8425,117,36,1497.6,2386.613546
3,Treated: Majestene,505,83,87,24,23.5,23,27,24.375,3.22,0.805,22.72,5.68,6.485,32,36,409.6,508.8198758
4,DT-3 Chryseobacterium elymi,104,101,100,16,26.5,26.1,14.7,20.825,2.07,0.5175,20.68,5.17,5.6875,159,6,12282.75,23734.78261
4,DT-3 Chryseobacterium elymi,202,107,82,26,19,24,20.5,22.375,2.69,0.6725,31.34,7.835,8.5075,208,6,16068,23892.9368
4,DT-3 Chryseobacterium elymi,306,84,76,29,33.5,29.5,27,29.75,2.84,0.71,36.53,9.1325,9.8425,86,36,1100.8,1550.422535
4,DT-3 Chryseobacterium elymi,401,94,100,35.5,31.5,27,31.5,31.375,4.55,1.1375,49.17,12.2925,13.43,112,36,1433.6,1260.307692
4,DT-3 Chryseobacterium elymi,508,84,84,31,27.7,28.7,24.5,27.975,3.18,0.795,41.05,10.2625,11.0575,69,36,883.2,1110.943396
4,DT-3 Chryseobacterium elymi,104,67,87,24,25,22.5,24.5,24,2.96,0.74,26.24,6.56,7.3,80,36,1024,1383.783784
4,DT-3 Chryseobacterium elymi,202,69,69,24.5,28,20.5,26.5,24.875,3,0.75,25.54,6.385,7.135,178,6,13750.5,18334
4,DT-3 Chryseobacterium elymi,306,102,85,24.5,16.5,26,20.5,21.875,2.45,0.6125,21.18,5.295,5.9075,68,36,870.4,1421.061224
4,DT-3 Chryseobacterium elymi,401,97,73,18,25,20,22,21.25,2.11,0.5275,19.01,4.7525,5.28,80,36,1024,1941.232227
4,DT-3 Chryseobacterium elymi,508,80,82,21.5,16,21,24.5,20.75,2.3,0.575,18.9,4.725,5.3,80,36,1024,1780.869565
5,DT-14 Pseudomonas piscium,105,101,102,28.5,26,27.8,29.5,27.95,3.53,0.8825,43.21,10.8025,11.685,81,36,1036.8,1174.844193
5,DT-14 Pseudomonas piscium,203,107,102,20.5,24,20.5,17,20.5,1.9,0.475,20.84,5.21,5.685,171,6,13209.75,27810
5,DT-14 Pseudomonas piscium,308,90,89,25,32,26.7,29.5,28.3,3.22,0.805,35.92,8.98,9.785,81,36,1036.8,1287.950311
5,DT-14 Pseudomonas piscium,406,110,93,26,29,29,26.5,27.625,2.92,0.73,30.08,7.52,8.25,76,36,972.8,1332.60274
5,DT-14 Pseudomonas piscium,501,96,92,21,32.5,18,25.5,24.25,3.74,0.935,33.28,8.32,9.255,80,6,6180,6609.625668
5,DT-14 Pseudomonas piscium,105,79,88,22,24,22,24.5,23.125,3.05,0.7625,28.58,7.145,7.9075,46,36,588.8,772.1967213
5,DT-14 Pseudomonas piscium,203,86,80,19.5,23,21,26.5,22.5,3.02,0.755,23.24,5.81,6.565,55,36,704,932.4503311
5,DT-14 Pseudomonas piscium,308,93,96,23,25.5,23.5,21.5,23.375,2.62,0.655,24.17,6.0425,6.6975,88,36,1126.4,1719.694656
5,DT-14 Pseudomonas piscium,406,92,89,24,22,25,24.5,23.875,2.51,0.6275,22.74,5.685,6.3125,86,36,1100.8,1754.262948
5,DT-14 Pseudomonas piscium,501,91,85,25.5,24,24,30,25.875,3.25,0.8125,34.43,8.6075,9.42,85,6,6566.25,8081.538462
6,DT-62 Bacillus cabrialesii/inaquosorum,106,91,90,23.5,26,27,28,26.125,2.16,0.54,28.45,7.1125,7.6525,80,36,1024,1896.296296
6,DT-62 Bacillus cabrialesii/inaquosorum,208,102,99,28,32,31,29,30,2.73,0.6825,33.14,8.285,8.9675,75,36,960,1406.593407
6,DT-62 Bacillus cabrialesii/inaquosorum,303,102,106,22,25.7,21.5,15,21.05,2.01,0.5025,21.34,5.335,5.8375,220,6,16995,33820.89552
6,DT-62 Bacillus cabrialesii/inaquosorum,407,99,93,27,33,31,26,29.25,3.83,0.9575,38.73,9.6825,10.64,150,36,1920,2005.221932
6,DT-62 Bacillus cabrialesii/inaquosorum,510,107,93,27.7,23.5,17.4,18.3,21.725,1.92,0.48,17.56,4.39,4.87,65,36,832,1733.333333
6,DT-62 Bacillus cabrialesii/inaquosorum,106,91,102,25,25,16.5,26,23.125,2.83,0.7075,25.16,6.29,6.9975,101,36,1292.8,1827.279152
6,DT-62 Bacillus cabrialesii/inaquosorum,208,71,90,26.5,25,21.5,20.5,23.375,2.33,0.5825,21.1,5.275,5.8575,65,6,5021.25,8620.171674
6,DT-62 Bacillus cabrialesii/inaquosorum,303,85,89,19,26,21.5,26,23.125,2.36,0.59,25.06,6.265,6.855,79,36,1011.2,1713.898305
6,DT-62 Bacillus cabrialesii/inaquosorum,407,80,93,24,22,24,19.5,22.375,2.47,0.6175,24.23,6.0575,6.675,60,36,768,1243.724696
6,DT-62 Bacillus cabrialesii/inaquosorum,510,74,75,19,19,22,17.5,19.375,2.18,0.545,16.38,4.095,4.64,89,6,6875.25,12615.13761
7,DT-87 Bacillus amyloliquefaciens/siamensis,107,78,85,28,24.5,29,27.5,27.25,2.52,0.63,29.74,7.435,8.065,38,36,486.4,772.0634921
7,DT-87 Bacillus amyloliquefaciens/siamensis,205,109,82,29,26,30.5,32.5,29.5,3.81,0.9525,44.79,11.1975,12.15,56,6,4326,4541.732283
7,DT-87 Bacillus amyloliquefaciens/siamensis,302,91,96,25.5,24.5,16.5,17,20.875,2.01,0.5025,22.74,5.685,6.1875,80,6,6180,12298.50746
7,DT-87 Bacillus amyloliquefaciens/siamensis,410,99,91,26.5,25,29,29,27.375,3.54,0.885,31.17,7.7925,8.6775,36,36,460.8,520.6779661
7,DT-87 Bacillus amyloliquefaciens/siamensis,506,83,81,18,29,25.5,31.5,26,2.79,0.6975,25.01,6.2525,6.95,43,6,3321.75,4762.365591
7,DT-87 Bacillus amyloliquefaciens/siamensis,107,80,90,22,23,23.5,23,22.875,2.27,0.5675,24.56,6.14,6.7075,35,36,448,789.4273128
7,DT-87 Bacillus amyloliquefaciens/siamensis,205,95,92,25,22.5,24,29.5,25.25,2.55,0.6375,24.8,6.2,6.8375,44,36,563.2,883.4509804
7,DT-87 Bacillus amyloliquefaciens/siamensis,302,94,103,26.5,22,27,24,24.875,3.25,0.8125,31.12,7.78,8.5925,36,36,460.8,567.1384615
7,DT-87 Bacillus amyloliquefaciens/siamensis,410,68,100,23,17,19,24,20.75,1.58,0.395,14.22,3.555,3.95,43,36,550.4,1393.417722
7,DT-87 Bacillus amyloliquefaciens/siamensis,506,80,86,22,25,24,20,22.75,3.34,0.835,23.84,5.96,6.795,37,36,473.6,567.1856287
8,DT-105 Bacillus velezensis,108,97,95,31,26,23,26.5,26.625,2.95,0.7375,33.96,8.49,9.2275,48,6,3708,5027.79661
8,DT-105 Bacillus velezensis,204,104,105,27,28,19.5,22,24.125,2.52,0.63,26.58,6.645,7.275,52,6,4017,6376.190476
8,DT-105 Bacillus velezensis,310,83,81,25,24.5,27.5,24.6,25.4,2.26,0.565,22.91,5.7275,6.2925,36,36,460.8,815.5752212
8,DT-105 Bacillus velezensis,405,90,97,22,25,31.5,18,24.125,3.56,0.89,32.28,8.07,8.96,44,6,3399,3819.101124
8,DT-105 Bacillus velezensis,502,96,93,30,27,26.5,25.5,27.25,2.49,0.6225,33.11,8.2775,8.9,45,6,3476.25,5584.337349
8,DT-105 Bacillus velezensis,108,89,90,22,18.5,20.5,26.5,21.875,1.9,0.475,17.76,4.44,4.915,33,6,2549.25,5366.842105
8,DT-105 Bacillus velezensis,204,73,94,29.5,30,25,30,28.625,4.52,1.13,41.74,10.435,11.565,29,36,371.2,328.4955752
8,DT-105 Bacillus velezensis,310,70,74,20.5,25,24,21,22.625,2.43,0.6075,24.25,6.0625,6.67,31,6,2394.75,3941.975309
8,DT-105 Bacillus velezensis,405,88,90,25.5,24,23.5,27,25,2.81,0.7025,27.12,6.78,7.4825,28,36,358.4,510.1779359
8,DT-105 Bacillus velezensis,502,63,83,23,26,26,20,23.75,3.52,0.88,28.59,7.1475,8.0275,41,6,3167.25,3599.147727
9,DT-129 Arthrobacter nitrophenolicus,109,92,90,36.5,32.5,19.5,23,27.875,2.58,0.645,33.08,8.27,8.915,30,36,384,595.3488372
9,DT-129 Arthrobacter nitrophenolicus,210,77,89,31,28.5,24,31,28.625,2.25,0.5625,26.21,6.5525,7.115,45,6,3476.25,6180
9,DT-129 Arthrobacter nitrophenolicus,305,93,94,30,30.5,30.5,34,31.25,4.22,1.055,54.2,13.55,14.605,44,6,3399,3221.800948
9,DT-129 Arthrobacter nitrophenolicus,402,104,85,23,27,24,26.5,25.125,3.19,0.7975,34.19,8.5475,9.345,48,6,3708,4649.529781
9,DT-129 Arthrobacter nitrophenolicus,504,85,88,23,23.5,21.5,27,23.75,2.98,0.745,29.2,7.3,8.045,46,6,3553.5,4769.798658
9,DT-129 Arthrobacter nitrophenolicus,109,85,84,24,27.5,20.5,14,21.5,2.52,0.63,22.5,5.625,6.255,38,36,486.4,772.0634921
9,DT-129 Arthrobacter nitrophenolicus,210,73,106,24,18,26.5,17.5,21.5,3.46,0.865,23.01,5.7525,6.6175,58,6,4480.5,5179.768786
9,DT-129 Arthrobacter nitrophenolicus,305,90,90,21,22,23.5,19,21.375,1.71,0.4275,19.41,4.8525,5.28,33,36,422.4,988.0701754
9,DT-129 Arthrobacter nitrophenolicus,402,81,84,28,25.5,24,26,25.875,2.73,0.6825,33.5,8.375,9.0575,46,6,3553.5,5206.593407
9,DT-129 Arthrobacter nitrophenolicus,504,79,81,24,23.5,22.5,23,23.25,3.91,0.9775,28.74,7.185,8.1625,34,36,435.2,445.2173913
10,DT-204 Sphingomonas kyeonggiensis,110,91,89,26,30.5,23.5,18.9,24.725,1.87,0.4675,22.38,5.595,6.0625,43,6,3321.75,7105.347594
10,DT-204 Sphingomonas kyeonggiensis,206,95,106,28,30.5,26,24.2,27.175,3.16,0.79,27.9,6.975,7.765,36,6,2781,3520.253165
10,DT-204 Sphingomonas kyeonggiensis,309,76,83,35.5,35.5,17.5,25.7,28.55,2.47,0.6175,30.46,7.615,8.2325,28,36,358.4,580.4048583
10,DT-204 Sphingomonas kyeonggiensis,403,98,87,21,18,22.5,19.5,20.25,2.18,0.545,17.61,4.4025,4.9475,39,6,3012.75,5527.981651
10,DT-204 Sphingomonas kyeonggiensis,507,91,93,28,30,25.5,31.5,28.75,2.29,0.5725,29.66,7.415,7.9875,45,36,576,1006.113537
10,DT-204 Sphingomonas kyeonggiensis,110,56,71,23,21,20,18,20.5,2.15,0.5375,19.21,4.8025,5.34,51,36,652.8,1214.511628
10,DT-204 Sphingomonas kyeonggiensis,206,96,91,21.5,20,18,18,19.375,1.6,0.4,14.62,3.655,4.055,26,36,332.8,832
10,DT-204 Sphingomonas kyeonggiensis,309,88,72,27,26.5,27,27.5,27,2.62,0.655,29.5,7.375,8.03,32,6,2472,3774.045802
10,DT-204 Sphingomonas kyeonggiensis,403,80,91,19,26,25,21,22.75,2.98,0.745,29.05,7.2625,8.0075,52,6,4017,5391.946309
10,DT-204 Sphingomonas kyeonggiensis,507,74,94,24,21.5,21,25,22.875,2.99,0.7475,24.97,6.2425,6.99,33,36,422.4,565.083612
